b,att
1,0.054394429516505693
2,0.04864480246510441
3,0.04916359288076557
4,0.036464672934787216
5,0.04000416670665145
6,0.04995709710636361
7,0.04114966684454903
8,0.02205369964298205
9,0.043073261889832806
10,0.00914612069643851
11,0.07505034145794823
12,0.04780654882339647
13,0.062477636517838074
14,0.0264560357876063
15,0.025091621933700316
16,0.017574228569338487
17,0.03776003018317594
18,0.04441181429543567
19,0.03567823833941181
20,0.06041747468857203
21,0.021807188242009307
22,0.041418026700527175
23,0.039783822537251885
24,0.009222089798725446
25,0.03976228711907097
26,0.04023832573725015
27,0.049277648388961405
28,0.03530770141331687
29,0.035384448112288545
30,-0.007628135595691514
31,0.03464063534485174
32,0.04265536124684138
33,0.025935206147791903
34,0.035245373232423445
35,0.039287620728793084
36,-0.0056569269967093804
37,0.03232249382027913
38,0.04860537778702885
39,0.017564466233211326
40,0.016811016371252804
41,0.06814110580647044
42,0.03604011230828067
43,0.03471258976936416
44,0.06272037412378849
45,0.0222629485943892
46,0.04554569249386957
47,0.018850912587134318
48,0.07477539005280372
49,0.03790483576341738
50,0.02526318473996061
51,-7.175197749794035e-4
52,0.009859864425339693
53,0.03346725589858719
54,0.023555201473001584
55,0.0606724404101845
56,0.025312464766780875
57,0.025809635923308306
58,0.05050083512785653
59,0.02076459188183384
60,0.04078848012300839
61,0.025306129503788504
62,0.027724686502493944
63,-0.07256527215543428
64,0.007020733619418187
65,0.027323294048953645
66,0.03995777350593052
67,0.022090707641754498
68,0.01579318213987508
69,0.03953382539675345
70,0.0453403953411608
71,0.040959322115433516
72,0.04438462693644226
73,0.05235206000442571
74,0.03102099234387183
75,0.043397471440969095
76,0.0375959272511252
77,0.00879114276426621
78,0.03457681219086431
79,0.03628565517426903
80,0.0027257082183194422
81,0.0386723709733838
82,0.01835201700154923
83,0.02226812953330862
84,0.06094398929900205
85,-0.010790705080159786
86,0.0021390938550128738
87,0.06460089971270852
88,0.05982048896345104
89,0.05622195820986787
90,0.07384475162651088
91,0.029611572858718516
92,0.06469609740113788
93,0.019263086786814446
94,0.02571105204491152
95,0.015700153236161345
96,0.026550513534493097
97,0.047992853561521095
98,0.045183420545295776
99,0.052547721336832276
100,0.06510276046764299
101,0.03730084471885943
102,0.057343118610941386
103,0.018682821853723833
104,0.030186833550829347
105,0.032659281761267166
106,0.011847873531094554
107,0.03178435098174151
108,0.04757335680213198
109,0.03192893827121978
110,0.028147108204718472
111,0.0535299368286087
112,0.04187709358650939
113,0.026048944935167066
114,0.0219467013328205
115,0.029227685819027363
116,0.04260723821621265
117,0.057272053428906046
118,0.03330993276354092
119,0.07605072200253234
120,0.029120913431233405
121,0.07299985863511657
122,0.018241026554350486
123,0.0031168681786573056
124,0.03631462637796164
125,0.03085955891755206
126,0.050549820585567534
127,0.04186040420287784
128,0.030681580304844462
129,0.06782594592719259
130,0.05997784254821387
131,0.006480312971776868
132,0.009231529320009101
133,0.06818398940830499
134,0.042407723766389425
135,0.034647889914704987
136,0.0648342169851063
137,0.019359368314446908
138,0.02818440869559443
139,0.03798627281201401
140,0.053470554592946876
141,0.023912532903397173
142,0.04481240736331598
143,0.002509116665656715
144,0.051126524496606374
145,0.0023208052111689122
146,0.03517010297231709
147,0.029371397953086766
148,0.041320610091843624
149,0.033272642239537374
150,0.02063476608229203
151,0.03270133202389193
152,0.019463058585765886
153,0.043253895062471286
154,0.046260195506224365
155,0.022587647759385397
156,0.020235462579697338
157,0.012693394946635208
158,0.018395965820402763
159,0.04878005782693157
160,0.06644178127284366
161,0.016836464139832117
162,0.025360496013706543
163,0.05391286146416132
164,0.04194131745759855
165,0.008434091051781566
166,0.027428412302006967
167,0.024252894009583477
168,0.012127126160173562
169,0.06279923456912564
170,0.054729440713295927
171,0.03441839996885569
172,0.04304151574360556
173,0.024868789771074075
174,0.04704520013013045
175,0.05393609733305248
176,0.035596823157988886
177,0.008457720945217665
178,0.048815513227649876
179,0.04078239086601632
180,0.05714513136316443
181,0.057300100922773975
182,0.010781087992701777
183,0.0383174023393786
184,0.04739315323548429
185,0.026150013424536128
186,0.061159753883394646
187,0.014291216958093468
188,0.022548593721984766
189,0.011520442288802134
190,0.029736118512770644
191,0.043689453198640586
192,0.0422086006478534
193,0.04446593693977794
194,0.0361140031972924
195,0.057593073935250295
196,0.030652161216264903
197,0.05530253688729456
198,0.042466385311386134
199,0.03698275130576947
