spec,att,se,ci_lo,ci_hi,n_treated
"(0) main: not-yet-treated, anticipation 3",0.012420374872159306,0.027819265308929787,-0.042105385133343075,0.06694613487766168,31
(a) never-treated controls,0.013366194091672527,0.028504953849383636,-0.042503515453119395,0.06923590363646445,31
"(a') dr, no covariates",0.03414852483225956,0.03592268957068204,-0.03625994672627723,0.10455699639079635,31
(a'') ipw + covariates,0.027073738120805966,0.029476106930456394,-0.030699431462888564,0.0848469077045005,31
"(b) Sun–Abraham IW, all-horizon post ATT (different estimand — see text)",-0.009697018862262844,0.0027782599259422256,-0.015142408317109605,-0.0042516294074160825,31
(c) Redfin median sale price outcome,-0.02137779640975901,0.032217031002508084,-0.08452317717467485,0.04176758435515683,30
(d) drop 2020-01..2021-12,0.0035498542158451806,0.02856812462128391,-0.05244367004187128,0.05954337847356164,31
(e) anticipation = 0,0.01010353678099117,0.02856688166509519,-0.0458875512825954,0.06609462484457773,31
(e') anticipation = 6,0.009826593543921396,0.030929978732048103,-0.05079616477089288,0.07044935185873567,31
(g) drop top-3 investment projects,0.013384620648381725,0.028886499134301042,-0.04323291765484832,0.07000215895161177,28
(h) propensity-trimmed controls,0.01097898930296333,0.029781858534125114,-0.04739345342392189,0.06935143202984856,31
